index,Nombre,Tamaño,Tipo,Fecha de creación,hora,Última modificación,Acceso público,Historial de versiones,Encriptación,Fecha de vencimiento de la retención,Conservaciones,Unnamed: 11,tProceso
0,,Daft_Punk_One_More_Time_1.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:36,Standard,2022-11-19 18:36:36,No público,—,Google-managed key,—,Ninguno,
111,,Daft_Punk_One_More_Time_2.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:37,Standard,2022-11-19 18:36:37,No público,—,Google-managed key,—,Ninguno,1.0
167,,Daft_Punk_One_More_Time_7.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:38,Standard,2022-11-19 18:36:38,No público,—,Google-managed key,—,Ninguno,1.0
123,,Daft_Punk_One_More_Time_3.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:39,Standard,2022-11-19 18:36:39,No público,—,Google-managed key,—,Ninguno,1.0
134,,Daft_Punk_One_More_Time_4.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:39,Standard,2022-11-19 18:36:39,No público,—,Google-managed key,—,Ninguno,0.0
145,,Daft_Punk_One_More_Time_5.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:40,Standard,2022-11-19 18:36:40,No público,—,Google-managed key,—,Ninguno,1.0
189,,Daft_Punk_One_More_Time_9.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:41,Standard,2022-11-19 18:36:41,No público,—,Google-managed key,—,Ninguno,1.0
178,,Daft_Punk_One_More_Time_8.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:42,Standard,2022-11-19 18:36:42,No público,—,Google-managed key,—,Ninguno,1.0
12,,Daft_Punk_One_More_Time_11.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:42,Standard,2022-11-19 18:36:42,No público,—,Google-managed key,—,Ninguno,0.0
156,,Daft_Punk_One_More_Time_6.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:43,Standard,2022-11-19 18:36:43,No público,—,Google-managed key,—,Ninguno,1.0
1,,Daft_Punk_One_More_Time_10.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:44,Standard,2022-11-19 18:36:44,No público,—,Google-managed key,—,Ninguno,1.0
67,,Daft_Punk_One_More_Time_16.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:45,Standard,2022-11-19 18:36:45,No público,—,Google-managed key,—,Ninguno,1.0
45,,Daft_Punk_One_More_Time_14.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:45,Standard,2022-11-19 18:36:45,No público,—,Google-managed key,—,Ninguno,0.0
23,,Daft_Punk_One_More_Time_12.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:46,Standard,2022-11-19 18:36:46,No público,—,Google-managed key,—,Ninguno,1.0
56,,Daft_Punk_One_More_Time_15.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:46,Standard,2022-11-19 18:36:46,No público,—,Google-managed key,—,Ninguno,0.0
100,,Daft_Punk_One_More_Time_19.wav,54-1MB,audio/x-wav,2022-11-19 18:36:48,Standard,2022-11-19 18:36:48,No público,—,Google-managed key,—,Ninguno,2.0
89,,Daft_Punk_One_More_Time_18.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:49,Standard,2022-11-19 18:36:49,No público,—,Google-managed key,—,Ninguno,1.0
115,,Daft_Punk_One_More_Time_22.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:49,Standard,2022-11-19 18:36:49,No público,—,Google-managed key,—,Ninguno,0.0
121,,Daft_Punk_One_More_Time_28.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:51,Standard,2022-11-19 18:36:51,No público,—,Google-managed key,—,Ninguno,2.0
159,,Daft_Punk_One_More_Time_62.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:51,Standard,2022-11-19 18:36:51,No público,—,Google-managed key,—,Ninguno,0.0
117,,Daft_Punk_One_More_Time_24.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:52,Standard,2022-11-19 18:36:52,No público,—,Google-managed key,—,Ninguno,1.0
125,,Daft_Punk_One_More_Time_31.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:52,Standard,2022-11-19 18:36:52,No público,—,Google-managed key,—,Ninguno,0.0
162,,Daft_Punk_One_More_Time_65.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:56,Standard,2022-11-19 18:36:56,No público,—,Google-managed key,—,Ninguno,4.0
175,,Daft_Punk_One_More_Time_77.wav,54.1 MB,audio/x-wav,2022-11-19 18:36:58,Standard,2022-11-19 18:36:58,No público,—,Google-managed key,—,Ninguno,2.0
139,,Daft_Punk_One_More_Time_44.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:00,Standard,2022-11-19 18:37:00,No público,—,Google-managed key,—,Ninguno,2.0
166,,Daft_Punk_One_More_Time_69.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:01,Standard,2022-11-19 18:37:01,No público,—,Google-managed key,—,Ninguno,1.0
194,,Daft_Punk_One_More_Time_94.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:01,Standard,2022-11-19 18:37:01,No público,—,Google-managed key,—,Ninguno,0.0
169,,Daft_Punk_One_More_Time_71.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:02,Standard,2022-11-19 18:37:02,No público,—,Google-managed key,—,Ninguno,1.0
197,,Daft_Punk_One_More_Time_97.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:03,Standard,2022-11-19 18:37:03,No público,—,Google-managed key,—,Ninguno,1.0
180,,Daft_Punk_One_More_Time_81.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:04,Standard,2022-11-19 18:37:04,No público,—,Google-managed key,—,Ninguno,1.0
171,,Daft_Punk_One_More_Time_73.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:04,Standard,2022-11-19 18:37:04,No público,—,Google-managed key,—,Ninguno,0.0
182,,Daft_Punk_One_More_Time_83.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:06,Standard,2022-11-19 18:37:06,No público,—,Google-managed key,—,Ninguno,2.0
2,,Daft_Punk_One_More_Time_100.wav,54.1 MB,audio/x-wav,2022-11-19 18:37:07,Standard,2022-11-19 18:37:07,No público,—,Google-managed key,—,Ninguno,1.0
