index,Archivo,Tamaño,Formato,hora,Tipo,Fecha2,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,tProceso
61,Daft_Punk_One_More_Time_2.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:41,Standard,2022-12-02 21:44:41,No público,—,Google-managed key,—,Ninguno,
72,Daft_Punk_One_More_Time_3.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:44,Standard,2022-12-02 21:44:44,No público,—,Google-managed key,—,Ninguno,3.0
83,Daft_Punk_One_More_Time_4.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:44,Standard,2022-12-02 21:44:44,No público,—,Google-managed key,—,Ninguno,0.0
94,Daft_Punk_One_More_Time_5.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:47,Standard,2022-12-02 21:44:47,No público,—,Google-managed key,—,Ninguno,3.0
106,Daft_Punk_One_More_Time_6.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:49,Standard,2022-12-02 21:44:49,No público,—,Google-managed key,—,Ninguno,2.0
128,Daft_Punk_One_More_Time_8.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:49,Standard,2022-12-02 21:44:49,No público,—,Google-managed key,—,Ninguno,0.0
117,Daft_Punk_One_More_Time_7.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:51,Standard,2022-12-02 21:44:51,No público,—,Google-managed key,—,Ninguno,2.0
0,Daft_Punk_One_More_Time_10.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:52,Standard,2022-12-02 21:44:52,No público,—,Google-managed key,—,Ninguno,1.0
11,Daft_Punk_One_More_Time_11.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:54,Standard,2022-12-02 21:44:54,No público,—,Google-managed key,—,Ninguno,2.0
139,Daft_Punk_One_More_Time_9.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:54,Standard,2022-12-02 21:44:54,No público,—,Google-managed key,—,Ninguno,0.0
44,Daft_Punk_One_More_Time_14.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:56,Standard,2022-12-02 21:44:56,No público,—,Google-managed key,—,Ninguno,2.0
22,Daft_Punk_One_More_Time_12.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:56,Standard,2022-12-02 21:44:56,No público,—,Google-managed key,—,Ninguno,0.0
33,Daft_Punk_One_More_Time_13.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:57,Standard,2022-12-02 21:44:57,No público,—,Google-managed key,—,Ninguno,1.0
57,Daft_Punk_One_More_Time_16.wav,54.1 MB,audio/x-wav,2022-12-02 21:44:59,Standard,2022-12-02 21:44:59,No público,—,Google-managed key,—,Ninguno,2.0
55,Daft_Punk_One_More_Time_15.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:01,Standard,2022-12-02 21:45:01,No público,—,Google-managed key,—,Ninguno,2.0
58,Daft_Punk_One_More_Time_17.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:01,Standard,2022-12-02 21:45:01,No público,—,Google-managed key,—,Ninguno,0.0
59,Daft_Punk_One_More_Time_18.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:02,Standard,2022-12-02 21:45:02,No público,—,Google-managed key,—,Ninguno,1.0
60,Daft_Punk_One_More_Time_19.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:03,Standard,2022-12-02 21:45:03,No público,—,Google-managed key,—,Ninguno,1.0
63,Daft_Punk_One_More_Time_21.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:04,Standard,2022-12-02 21:45:04,No público,—,Google-managed key,—,Ninguno,1.0
82,Daft_Punk_One_More_Time_39.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:12,Standard,2022-12-02 21:45:12,No público,—,Google-managed key,—,Ninguno,8.0
80,Daft_Punk_One_More_Time_37.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:14,Standard,2022-12-02 21:45:14,No público,—,Google-managed key,—,Ninguno,2.0
81,Daft_Punk_One_More_Time_38.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:14,Standard,2022-12-02 21:45:14,No público,—,Google-managed key,—,Ninguno,0.0
84,Daft_Punk_One_More_Time_40.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:16,Standard,2022-12-02 21:45:16,No público,—,Google-managed key,—,Ninguno,2.0
85,Daft_Punk_One_More_Time_41.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:18,Standard,2022-12-02 21:45:18,No público,—,Google-managed key,—,Ninguno,2.0
86,Daft_Punk_One_More_Time_42.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:19,Standard,2022-12-02 21:45:19,No público,—,Google-managed key,—,Ninguno,1.0
87,Daft_Punk_One_More_Time_43.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:20,Standard,2022-12-02 21:45:20,No público,—,Google-managed key,—,Ninguno,1.0
62,Daft_Punk_One_More_Time_20.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:21,Standard,2022-12-02 21:45:21,No público,—,Google-managed key,—,Ninguno,1.0
67,Daft_Punk_One_More_Time_25.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:21,Standard,2022-12-02 21:45:21,No público,—,Google-managed key,—,Ninguno,0.0
64,Daft_Punk_One_More_Time_22.wav,54.1 MB,audio/x-wav,2022-12-02 21:45:22,Standard,2022-12-02 21:45:22,No público,—,Google-managed key,—,Ninguno,1.0
